Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1774106045,2026-03-21T15:14:05Z,FGSBJ,"43.588005,1.500448",0,0,186
1774106639,2026-03-21T15:23:59Z,FGSBJ,"43.588013,1.500222",0,5,186
1774106651,2026-03-21T15:24:11Z,FGSBJ,"43.588116,1.50001",0,3,186
1774106663,2026-03-21T15:24:23Z,FGSBJ,"43.588013,1.499683",0,5,186
1774106674,2026-03-21T15:24:34Z,FGSBJ,"43.588257,1.499339",0,9,331
1774106681,2026-03-21T15:24:41Z,FGSBJ,"43.588554,1.499139",0,12,331
1774106688,2026-03-21T15:24:48Z,FGSBJ,"43.588943,1.498899",0,15,334
1774106695,2026-03-21T15:24:55Z,FGSBJ,"43.589401,1.498612",0,16,334
1774106697,2026-03-21T15:24:57Z,FGSBJ,"43.589607,1.498484",0,16,334
1774106704,2026-03-21T15:25:04Z,FGSBJ,"43.590054,1.498213",0,15,334
1774106709,2026-03-21T15:25:09Z,FGSBJ,"43.590351,1.498037",0,14,337
1774106714,2026-03-21T15:25:14Z,FGSBJ,"43.590626,1.497845",0,12,334
1774106720,2026-03-21T15:25:20Z,FGSBJ,"43.590923,1.497654",0,9,334
1774106727,2026-03-21T15:25:27Z,FGSBJ,"43.591133,1.497508",0,5,326
1774106978,2026-03-21T15:29:38Z,FGSBJ,"43.591335,1.497223",0,1,326
1774107359,2026-03-21T15:35:59Z,FGSBJ,"43.589699,1.497398",0,0,154
1774107379,2026-03-21T15:36:19Z,FGSBJ,"43.584045,1.500784",800,77,158
1774107383,2026-03-21T15:36:23Z,FGSBJ,"43.582623,1.501465",800,77,161
1774107387,2026-03-21T15:36:27Z,FGSBJ,"43.581482,1.502061",900,75,159
1774107389,2026-03-21T15:36:29Z,FGSBJ,"43.580841,1.50238",900,73,160
1774107391,2026-03-21T15:36:31Z,FGSBJ,"43.579971,1.502828",1000,72,158
1774107397,2026-03-21T15:36:37Z,FGSBJ,"43.578232,1.503786",1100,70,158
1774107400,2026-03-21T15:36:40Z,FGSBJ,"43.577637,1.504105",1100,71,157
1774107402,2026-03-21T15:36:42Z,FGSBJ,"43.576767,1.504616",1100,73,155
1774107404,2026-03-21T15:36:44Z,FGSBJ,"43.576126,1.504999",1200,76,156
1774107406,2026-03-21T15:36:46Z,FGSBJ,"43.575409,1.505454",1200,79,156
1774107408,2026-03-21T15:36:48Z,FGSBJ,"43.574524,1.506021",1200,83,155
1774107411,2026-03-21T15:36:51Z,FGSBJ,"43.573792,1.506468",1200,85,155
1774107413,2026-03-21T15:36:53Z,FGSBJ,"43.572922,1.507043",1200,86,154
1774107415,2026-03-21T15:36:55Z,FGSBJ,"43.572189,1.507554",1200,86,154
1774107417,2026-03-21T15:36:57Z,FGSBJ,"43.571457,1.508001",1300,88,153
1774107419,2026-03-21T15:36:59Z,FGSBJ,"43.57066,1.508528",1300,89,154
1774107422,2026-03-21T15:37:02Z,FGSBJ,"43.569775,1.509181",1300,87,152
1774107424,2026-03-21T15:37:04Z,FGSBJ,"43.568985,1.509726",1400,85,152
1774107426,2026-03-21T15:37:06Z,FGSBJ,"43.568298,1.510237",1400,83,152
1774107428,2026-03-21T15:37:08Z,FGSBJ,"43.567402,1.510882",1500,82,151
1774107430,2026-03-21T15:37:10Z,FGSBJ,"43.56665,1.511387",1500,82,151
1774107433,2026-03-21T15:37:13Z,FGSBJ,"43.56591,1.511993",1500,83,149
1774107435,2026-03-21T15:37:15Z,FGSBJ,"43.565262,1.512582",1500,84,143
1774107437,2026-03-21T15:37:17Z,FGSBJ,"43.564701,1.513301",1600,84,133
1774107439,2026-03-21T15:37:19Z,FGSBJ,"43.56419,1.514151",1600,84,122
