Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775378099,2026-04-05T08:34:59Z,FGTPK,"43.588062,1.500432",0,1,69
1775378298,2026-04-05T08:38:18Z,FGTPK,"43.587833,1.500384",0,8,188
1775378306,2026-04-05T08:38:26Z,FGTPK,"43.587524,1.50048",0,8,157
1775378318,2026-04-05T08:38:38Z,FGTPK,"43.587215,1.500225",0,8,250
1775378325,2026-04-05T08:38:45Z,FGTPK,"43.587353,1.499873",0,11,334
1775378332,2026-04-05T08:38:52Z,FGTPK,"43.587719,1.49965",0,14,334
1775378336,2026-04-05T08:38:56Z,FGTPK,"43.587982,1.49949",0,15,337
1775378348,2026-04-05T08:39:08Z,FGTPK,"43.588943,1.498883",0,21,337
1775378351,2026-04-05T08:39:11Z,FGTPK,"43.589222,1.498702",0,20,334
1775378360,2026-04-05T08:39:20Z,FGTPK,"43.589767,1.498372",0,15,334
1775378367,2026-04-05T08:39:27Z,FGTPK,"43.590214,1.498085",0,16,334
1775378382,2026-04-05T08:39:42Z,FGTPK,"43.591232,1.497446",0,7,329
1775378388,2026-04-05T08:39:48Z,FGTPK,"43.591339,1.497231",0,8,281
1775378414,2026-04-05T08:40:14Z,FGTPK,"43.591293,1.497002",0,0,281
1775378785,2026-04-05T08:46:25Z,FGTPK,"43.590946,1.4966",0,1,281
1775378835,2026-04-05T08:47:15Z,FGTPK,"43.590248,1.497031",0,0,154
1775378844,2026-04-05T08:47:24Z,FGTPK,"43.588348,1.498229",200,60,156
1775378851,2026-04-05T08:47:31Z,FGTPK,"43.586441,1.499438",200,72,153
1775378865,2026-04-05T08:47:45Z,FGTPK,"43.58226,1.502125",500,63,154
1775378873,2026-04-05T08:47:53Z,FGTPK,"43.580154,1.503466",600,68,153
1775378878,2026-04-05T08:47:58Z,FGTPK,"43.578712,1.504473",700,71,151
1775378880,2026-04-05T08:48:00Z,FGTPK,"43.57811,1.504931",700,72,152
1775378882,2026-04-05T08:48:02Z,FGTPK,"43.577362,1.50551",700,73,152
1775378884,2026-04-05T08:48:04Z,FGTPK,"43.576805,1.505846",800,74,152
1775378887,2026-04-05T08:48:07Z,FGTPK,"43.576035,1.506468",800,75,150
1775378889,2026-04-05T08:48:09Z,FGTPK,"43.575302,1.507043",800,77,149
1775378891,2026-04-05T08:48:11Z,FGTPK,"43.574524,1.507682",900,78,149
1775378894,2026-04-05T08:48:14Z,FGTPK,"43.573872,1.508201",900,78,149
1775378896,2026-04-05T08:48:16Z,FGTPK,"43.573219,1.508724",900,77,148
1775378898,2026-04-05T08:48:18Z,FGTPK,"43.572617,1.509247",1000,78,147
1775378900,2026-04-05T08:48:20Z,FGTPK,"43.57201,1.50977",1000,78,149
1775378902,2026-04-05T08:48:22Z,FGTPK,"43.571358,1.510293",1000,78,151
1775378904,2026-04-05T08:48:24Z,FGTPK,"43.570568,1.510882",1100,80,152
1775378907,2026-04-05T08:48:27Z,FGTPK,"43.569855,1.511387",1100,82,150
1775378909,2026-04-05T08:48:29Z,FGTPK,"43.569214,1.511961",1100,83,146
1775378911,2026-04-05T08:48:31Z,FGTPK,"43.568378,1.512713",1100,84,141
1775378913,2026-04-05T08:48:33Z,FGTPK,"43.567776,1.513432",1200,84,135
1775378916,2026-04-05T08:48:36Z,FGTPK,"43.567062,1.514453",1200,86,127
1775378918,2026-04-05T08:48:38Z,FGTPK,"43.566563,1.515459",1300,86,122
1775378920,2026-04-05T08:48:40Z,FGTPK,"43.566238,1.516369",1300,87,112
1775378923,2026-04-05T08:48:43Z,FGTPK,"43.565819,1.517879",1300,87,105
1775378925,2026-04-05T08:48:45Z,FGTPK,"43.565643,1.519115",1400,86,95
1775378927,2026-04-05T08:48:47Z,FGTPK,"43.565586,1.520299",1400,88,88
1775378929,2026-04-05T08:48:49Z,FGTPK,"43.565735,1.521543",1500,90,77
1775378931,2026-04-05T08:48:51Z,FGTPK,"43.565918,1.522692",1500,91,76
1775378933,2026-04-05T08:48:53Z,FGTPK,"43.566097,1.523699",1500,93,77
1775378935,2026-04-05T08:48:55Z,FGTPK,"43.566376,1.525247",1500,94,77
1775378938,2026-04-05T08:48:58Z,FGTPK,"43.566563,1.526511",1600,94,77
1775378940,2026-04-05T08:49:00Z,FGTPK,"43.56675,1.527688",1600,90,77
1775378942,2026-04-05T08:49:02Z,FGTPK,"43.566936,1.5288",1700,88,78
1775378944,2026-04-05T08:49:04Z,FGTPK,"43.567123,1.530108",1700,87,78
1775378946,2026-04-05T08:49:06Z,FGTPK,"43.567291,1.531315",1800,87,80
1775378949,2026-04-05T08:49:09Z,FGTPK,"43.567402,1.532266",1800,88,82
1775378951,2026-04-05T08:49:11Z,FGTPK,"43.56752,1.533743",1800,90,83
1775378953,2026-04-05T08:49:13Z,FGTPK,"43.567635,1.534816",1800,94,82
1775378955,2026-04-05T08:49:15Z,FGTPK,"43.567776,1.536255",1800,95,82
1775378957,2026-04-05T08:49:17Z,FGTPK,"43.567841,1.537128",1800,95,82
1775378959,2026-04-05T08:49:19Z,FGTPK,"43.568008,1.53874",1800,96,82
1775378962,2026-04-05T08:49:22Z,FGTPK,"43.568161,1.540321",1800,98,81
1775378964,2026-04-05T08:49:24Z,FGTPK,"43.568287,1.541421",1800,98,81
1775378966,2026-04-05T08:49:26Z,FGTPK,"43.568474,1.542925",1800,98,81
