Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1774604002,2026-03-27T09:33:22Z,FGSRR,"43.588039,1.500432",0,0,333
1774604293,2026-03-27T09:38:13Z,FGSRR,"43.587826,1.500353",0,5,333
1774604305,2026-03-27T09:38:25Z,FGSRR,"43.58749,1.500484",0,6,333
1774604369,2026-03-27T09:39:29Z,FGSRR,"43.587234,1.500255",0,0,333
1774604380,2026-03-27T09:39:40Z,FGSRR,"43.586987,1.500124",0,6,333
1774604387,2026-03-27T09:39:47Z,FGSRR,"43.586769,1.500257",0,8,154
1774604393,2026-03-27T09:39:53Z,FGSRR,"43.586559,1.500386",0,9,154
1774604401,2026-03-27T09:40:01Z,FGSRR,"43.586254,1.500576",0,9,154
1774604410,2026-03-27T09:40:10Z,FGSRR,"43.585907,1.500795",0,10,154
1774604418,2026-03-27T09:40:18Z,FGSRR,"43.585556,1.501023",0,10,154
1774604430,2026-03-27T09:40:30Z,FGSRR,"43.585018,1.501358",0,9,154
1774604440,2026-03-27T09:40:40Z,FGSRR,"43.584698,1.501566",0,8,151
1774604453,2026-03-27T09:40:53Z,FGSRR,"43.584332,1.501822",0,5,151
1774604600,2026-03-27T09:43:20Z,FGSRR,"43.584045,1.501972",0,0,154
1774604718,2026-03-27T09:45:18Z,FGSRR,"43.583691,1.502093",0,4,154
1774604749,2026-03-27T09:45:49Z,FGSRR,"43.583599,1.501869",0,0,154
1774604793,2026-03-27T09:46:33Z,FGSRR,"43.58353,1.50135",0,0,247
1774604817,2026-03-27T09:46:57Z,FGSRR,"43.583885,1.501055",0,20,334
1774604819,2026-03-27T09:46:59Z,FGSRR,"43.584091,1.500927",0,27,334
1774604822,2026-03-27T09:47:02Z,FGSRR,"43.584522,1.500664",0,38,334
1774604825,2026-03-27T09:47:05Z,FGSRR,"43.585167,1.500241",0,49,331
1774604832,2026-03-27T09:47:12Z,FGSRR,"43.586975,1.499059",200,58,334
1774604839,2026-03-27T09:47:19Z,FGSRR,"43.588722,1.498064",300,66,336
1774604845,2026-03-27T09:47:25Z,FGSRR,"43.590591,1.496951",400,67,339
1774604847,2026-03-27T09:47:27Z,FGSRR,"43.591049,1.496696",400,63,339
1774604850,2026-03-27T09:47:30Z,FGSRR,"43.591888,1.496364",500,57,341
1774604852,2026-03-27T09:47:32Z,FGSRR,"43.592354,1.496102",600,54,342
1774604854,2026-03-27T09:47:34Z,FGSRR,"43.592789,1.495929",600,55,343
1774604856,2026-03-27T09:47:36Z,FGSRR,"43.593384,1.495674",700,57,341
1774604858,2026-03-27T09:47:38Z,FGSRR,"43.593933,1.495482",700,61,341
1774604861,2026-03-27T09:47:41Z,FGSRR,"43.594635,1.495122",700,62,342
1774604863,2026-03-27T09:47:43Z,FGSRR,"43.595192,1.494925",700,63,342
1774604865,2026-03-27T09:47:45Z,FGSRR,"43.59581,1.494652",800,63,344
1774604867,2026-03-27T09:47:47Z,FGSRR,"43.596359,1.494396",800,64,341
1774604869,2026-03-27T09:47:49Z,FGSRR,"43.596954,1.494141",800,67,339
1774604871,2026-03-27T09:47:51Z,FGSRR,"43.597641,1.493757",800,69,338
