Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1777130266,2026-04-25T15:17:46Z,FGSRR,"43.583794,1.502125",0,5,154
1777130419,2026-04-25T15:20:19Z,FGSRR,"43.58345,1.501438",0,6,244
1777130434,2026-04-25T15:20:34Z,FGSRR,"43.583622,1.501231",0,11,337
1777130437,2026-04-25T15:20:37Z,FGSRR,"43.583908,1.501055",0,24,334
1777130439,2026-04-25T15:20:39Z,FGSRR,"43.584126,1.500909",0,31,334
1777130441,2026-04-25T15:20:41Z,FGSRR,"43.58437,1.500746",0,37,334
1777130446,2026-04-25T15:20:46Z,FGSRR,"43.585602,1.499953",300,57,335
1777130460,2026-04-25T15:21:00Z,FGSRR,"43.589561,1.49728",400,77,333
1777130469,2026-04-25T15:21:09Z,FGSRR,"43.59256,1.495227",600,77,333
1777130476,2026-04-25T15:21:16Z,FGSRR,"43.594849,1.493502",700,78,331
1777130478,2026-04-25T15:21:18Z,FGSRR,"43.59549,1.493055",700,79,333
1777130480,2026-04-25T15:21:20Z,FGSRR,"43.596077,1.492637",800,79,334
1777130482,2026-04-25T15:21:22Z,FGSRR,"43.596916,1.492113",800,80,335
1777130485,2026-04-25T15:21:25Z,FGSRR,"43.597614,1.491721",800,80,335
1777130487,2026-04-25T15:21:27Z,FGSRR,"43.598404,1.491198",800,80,336
1777130489,2026-04-25T15:21:29Z,FGSRR,"43.599289,1.490691",900,80,338
1777130492,2026-04-25T15:21:32Z,FGSRR,"43.600021,1.490308",900,80,338
1777130494,2026-04-25T15:21:34Z,FGSRR,"43.600708,1.489925",1000,78,337
1777130496,2026-04-25T15:21:36Z,FGSRR,"43.601433,1.489498",1000,78,336
1777130498,2026-04-25T15:21:38Z,FGSRR,"43.602222,1.488974",1100,79,333
1777130501,2026-04-25T15:21:41Z,FGSRR,"43.603012,1.488451",1100,80,330
1777130503,2026-04-25T15:21:43Z,FGSRR,"43.603664,1.487928",1100,81,330
1777130505,2026-04-25T15:21:45Z,FGSRR,"43.604317,1.487405",1200,82,334
1777130507,2026-04-25T15:21:47Z,FGSRR,"43.605103,1.486923",1200,81,336
1777130509,2026-04-25T15:21:49Z,FGSRR,"43.605927,1.486476",1300,79,338
1777130512,2026-04-25T15:21:52Z,FGSRR,"43.606613,1.486156",1300,79,340
1777130514,2026-04-25T15:21:54Z,FGSRR,"43.607437,1.485773",1400,78,342
1777130516,2026-04-25T15:21:56Z,FGSRR,"43.608124,1.485454",1400,79,343
1777130518,2026-04-25T15:21:58Z,FGSRR,"43.608856,1.485134",1400,80,342
1777130520,2026-04-25T15:22:00Z,FGSRR,"43.609623,1.484789",1500,81,344
1777130522,2026-04-25T15:22:02Z,FGSRR,"43.610458,1.484496",1500,82,348
1777130524,2026-04-25T15:22:04Z,FGSRR,"43.611301,1.484331",1500,84,351
1777130527,2026-04-25T15:22:07Z,FGSRR,"43.612091,1.484266",1500,87,356
1777130529,2026-04-25T15:22:09Z,FGSRR,"43.613068,1.484397",1600,88,7
1777130531,2026-04-25T15:22:11Z,FGSRR,"43.6138,1.48456",1600,89,12
1777130533,2026-04-25T15:22:13Z,FGSRR,"43.614761,1.484943",1700,89,14
1777130535,2026-04-25T15:22:15Z,FGSRR,"43.61554,1.485262",1700,89,16
1777130537,2026-04-25T15:22:17Z,FGSRR,"43.616638,1.485709",1700,89,16
1777130540,2026-04-25T15:22:20Z,FGSRR,"43.617462,1.486029",1800,89,18
1777130542,2026-04-25T15:22:22Z,FGSRR,"43.61824,1.486412",1800,89,18
1777130544,2026-04-25T15:22:24Z,FGSRR,"43.619122,1.486816",1800,91,19
1777130546,2026-04-25T15:22:26Z,FGSRR,"43.619911,1.487274",1800,94,21
1777130548,2026-04-25T15:22:28Z,FGSRR,"43.620804,1.487817",1800,98,25
1777130551,2026-04-25T15:22:31Z,FGSRR,"43.621948,1.488711",1800,101,30
1777130553,2026-04-25T15:22:33Z,FGSRR,"43.622799,1.489563",1800,102,37
1777130555,2026-04-25T15:22:35Z,FGSRR,"43.623497,1.490348",1800,102,42
