Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1777206250,2026-04-26T12:24:10Z,FGSBJ,"43.584637,1.501612",0,0,154
1777206259,2026-04-26T12:24:19Z,FGSBJ,"43.584045,1.501972",0,10,157
1777206272,2026-04-26T12:24:32Z,FGSBJ,"43.583633,1.501997",0,6,157
1777206594,2026-04-26T12:29:54Z,FGSBJ,"43.583473,1.501432",0,0,157
1777206614,2026-04-26T12:30:14Z,FGSBJ,"43.583691,1.501199",0,14,334
1777206617,2026-04-26T12:30:17Z,FGSBJ,"43.583977,1.501007",0,26,334
1777206621,2026-04-26T12:30:21Z,FGSBJ,"43.584522,1.500664",0,40,334
1777206623,2026-04-26T12:30:23Z,FGSBJ,"43.584999,1.500369",0,49,334
1777206625,2026-04-26T12:30:25Z,FGSBJ,"43.585327,1.500145",0,49,334
1777206636,2026-04-26T12:30:36Z,FGSBJ,"43.58844,1.498165",200,70,335
1777206647,2026-04-26T12:30:47Z,FGSBJ,"43.59156,1.496364",400,67,338
1777206649,2026-04-26T12:30:49Z,FGSBJ,"43.592167,1.496037",400,68,340
1777206651,2026-04-26T12:30:51Z,FGSBJ,"43.59296,1.495645",400,66,340
1777206653,2026-04-26T12:30:53Z,FGSBJ,"43.593563,1.495383",500,66,342
1777206655,2026-04-26T12:30:55Z,FGSBJ,"43.59407,1.495163",500,65,344
1777206657,2026-04-26T12:30:57Z,FGSBJ,"43.594574,1.495035",500,65,345
1777206660,2026-04-26T12:31:00Z,FGSBJ,"43.595474,1.494729",600,66,346
1777206662,2026-04-26T12:31:02Z,FGSBJ,"43.59594,1.494533",600,68,344
1777206664,2026-04-26T12:31:04Z,FGSBJ,"43.596684,1.494271",600,69,344
1777206666,2026-04-26T12:31:06Z,FGSBJ,"43.597286,1.49401",600,71,343
1777206668,2026-04-26T12:31:08Z,FGSBJ,"43.598145,1.49363",600,73,343
1777206670,2026-04-26T12:31:10Z,FGSBJ,"43.598785,1.493374",700,74,342
1777206673,2026-04-26T12:31:13Z,FGSBJ,"43.599609,1.493055",700,76,341
1777206675,2026-04-26T12:31:15Z,FGSBJ,"43.600433,1.492671",700,78,341
1777206677,2026-04-26T12:31:17Z,FGSBJ,"43.601013,1.492375",700,77,341
1777206680,2026-04-26T12:31:20Z,FGSBJ,"43.601898,1.491969",800,76,341
1777206682,2026-04-26T12:31:22Z,FGSBJ,"43.602722,1.491586",800,77,341
1777206684,2026-04-26T12:31:24Z,FGSBJ,"43.60334,1.491263",800,77,341
1777206686,2026-04-26T12:31:26Z,FGSBJ,"43.60413,1.490871",900,78,340
1777206689,2026-04-26T12:31:29Z,FGSBJ,"43.605057,1.4905",900,80,341
1777206691,2026-04-26T12:31:31Z,FGSBJ,"43.605789,1.490117",900,81,341
1777206693,2026-04-26T12:31:33Z,FGSBJ,"43.606476,1.489797",1000,80,342
1777206695,2026-04-26T12:31:35Z,FGSBJ,"43.607109,1.489498",1000,80,341
1777206697,2026-04-26T12:31:37Z,FGSBJ,"43.608032,1.489159",1000,79,343
